,0
0,put bottle in fridge
1,lamp off
2,lamp on
3,screw nail
4,hannoi square
5,beat the buzz
6,stack blocks
7,close laptop lid
8,insert usb in computer
9,slide cabinet open and place cups
10,take plate off colored dish rack
11,put umbrella in umbrella stand
12,slide cabinet open
13,open fridge
14,pour from cup to cup
15,put item in drawer
16,put knife on chopping board
17,open box
18,toilet seat down
19,take usb out of computer
20,hit ball with queue
21,tv on
22,put knife in knife block
23,put rubbish in bin
24,place cups
25,take toilet roll off stand
26,stack cups
27,open jar
28,take off weighing scales
29,push buttons
30,push button
31,phone on base
32,hockey
33,take lid off saucepan
34,light bulb out
35,turn oven on
36,close grill
37,water plants
38,close jar
39,open drawer
40,turn tap
41,wipe desk
42,pick and lift
43,put groceries in cupboard
44,close box
45,tv off
46,open grill
47,open wine bottle
48,plug charger in power supply
49,sweep to dustpan
50,play jenga
51,setup checkers
52,close microwave
53,meat on grill
54,light bulb in
55,take money out safe
56,reach target
57,straighten rope
58,remove cups
59,reach and drag
60,put shoes in box
61,change clock
62,take frame off hanger
63,put books on bookshelf
64,put all groceries in cupboard
65,take shoes out of box
66,put toilet roll on stand
67,press switch
68,take tray out of oven
69,close drawer
70,solve puzzle
71,put money in safe
72,toilet seat up
73,place hanger on rack
74,open window
75,place shape in shape sorter
76,slide block to target
77,take umbrella out of umbrella stand
78,meat off grill
79,close door
80,change channel
81,close fridge
82,put tray in oven
83,set the table
84,block pyramid
85,take cup out from cabinet
86,move hanger
87,stack wine
88,pick up cup
89,put plate in colored dish rack
90,take item out of drawer
91,open oven
92,open door
93,get ice from fridge
94,unplug charger
95,empty container
96,hang frame on hanger
97,scoop with spatula
98,empty dishwasher
99,open microwave
